Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
1967,29,0,32.7,25,87.4,75,17.6,7,6.8,5.5,Gallmidge,Cuttack
2011,39,7,32.7,22.2,91.6,61,0,0,9.8,0,Yellowstemborer,Ludhiana
1994,29,111,31.3,22.5,83.4,56.6,27,15.3,4.3,4.5,Gallmidge,Rajendranagar
2007,4,0,29.8,10.4,83.3,22.4,0,2.2,9,3.8,Gallmidge,Raipur
2009,8,2,34.4,16.6,76.7,24.1,0,3.7,9.9,6.4,LeafFolder,Rajendranagar
2004,10,0,29.6,20.4,91.4,66.3,0,2.5,8.5,3.1,Caseworm,Maruteru
2000,34,168,27.5,22.1,93.3,86.3,0,7.3,0.8,2.5,Yellowstemborer,Maruteru
2003,13,0,22.7,10.9,60.7,44.3,13.4,6.7,4.8,2.8,NeckBlast,Palampur
1976,22,15,38.2,25.6,63.9,33.2,0,9,8.7,9.2,Yellowstemborer,Rajendranagar
1989,12,0,35.8,21.5,54,26.1,0,4.9,10.2,6.8,Yellowstemborer,Rajendranagar
2008,12,0,31.5,13.9,86.1,32,0,3.4,10.4,5.1,Greenleafhopper,Ludhiana
1998,32,22,29.5,22.6,94,94,0,9.4,3.8,3.6,Gallmidge,Maruteru
2002,23,0,35.1,24.7,87.3,67,32.4,5,5.1,4.8,Whitebackedplanthopper,Maruteru
2011,7,4,30.8,17.9,86.9,37.7,32.1,0,9.4,0,Caseworm,Maruteru
2001,40,1450,30.2,22.7,92,83.1,0,4.2,4.3,3.9,Whitebackedplanthopper,Maruteru
1995,19,18,34.4,18.9,75.9,51.1,10.6,6.8,8.3,6.7,Yellowstemborer,Raipur
1999,7,796,30.2,18.2,97.7,63.3,0,2.7,8.4,2.5,Yellowstemborer,Maruteru
1993,23,0,38.5,26.6,62.6,27.6,0,5.6,10.6,5.5,Gallmidge,Rajendranagar
2008,16,97,37.9,22.3,66.3,36.9,0,3.3,10.2,6.6,LeafFolder,Rajendranagar
1991,15,120,37,23,57.6,17.4,2,3.5,9.5,5.4,Yellowstemborer,Rajendranagar
2001,6,0,19.4,6.4,40.9,27.6,0,5.1,9.8,3.8,LeafBlast,Palampur
2007,26,35,28.2,23.4,90.4,77.3,57.1,15.2,0.9,4,Yellowstemborer,Rajendranagar
1997,52,7,30.1,20.5,85.2,70,4.6,2.5,5.7,20.7,Greenleafhopper,Maruteru
2008,2,0,29.9,12.1,80.6,28.9,0,2.9,9.2,4.5,Brownplanthopper,Rajendranagar
1996,26,72,31,24.9,84.7,69,223,5.6,4.1,28.6,Yellowstemborer,Maruteru
2010,28,0,30.1,25,86.4,60.3,57.1,2.3,2.5,4.2,Whitebackedplanthopper,Maruteru
1999,4,39,28.8,16.8,94.3,64,0,2.9,7.2,2.5,Yellowstemborer,Maruteru
1999,19,0,37.7,24.7,66.9,31.1,105.2,3.8,7.1,7.1,Gallmidge,Rajendranagar
1999,50,18,28.7,15,91.4,56.2,0,3.6,7.8,2.7,Greenleafhopper,Maruteru
1995,41,1171,28.6,22.3,90.7,72,227,1.6,2.6,18.8,LeafFolder,Maruteru
1991,7,0,14.2,3.8,60.7,46,43.3,6.2,8.8,2.6,LeafBlast,Palampur
1995,25,0,37.6,22.1,52.3,61.1,0,8.6,7.8,10,Gallmidge,Raipur
1996,42,98,29.1,19.8,82.1,66.5,20.6,3,4.7,3,Yellowstemborer,Rajendranagar
2008,34,81,30.2,23.1,88.7,63.9,157.3,3.4,5.1,5.9,Gallmidge,Rajendranagar
2008,46,3,27.5,12.8,21.6,21.7,0,11,4.3,2,Whitebackedplanthopper,Ludhiana
1998,34,85,31.1,23.1,94.9,70.9,116.3,1.8,6.5,3.7,Gallmidge,Rajendranagar
2000,13,13630,32.7,20.3,91.4,51.1,0,2.7,7.7,4.1,Miridbug,Maruteru
2009,48,80,27.1,17.5,84.1,76.6,0,1.9,8.4,2.8,Miridbug,Maruteru
1961,52,0,24.7,9.5,76.4,34.9,0,2.3,10.2,4,Gallmidge,Cuttack
2003,10,24,32.3,12,70.7,16.9,0,3.3,9.4,5.9,Yellowstemborer,Raipur
1998,20,47,36.1,24,84.4,53.3,0,6.8,9.5,6.9,Whitebackedplanthopper,Maruteru
2010,3,734,28.7,20.6,89.7,72.9,1.4,4.2,5,2.6,ZigZagleafhopper,Maruteru
1997,6,12,28.7,18.4,93,67,0,1.7,9,20.6,Whitebackedplanthopper,Maruteru
1981,17,11,36.2,22.4,70.3,32.3,4.8,5.9,7.8,6.5,Yellowstemborer,Rajendranagar
2010,5,0,29.4,13.7,81.9,33.6,0,4,9.6,8.6,LeafFolder,Rajendranagar
2008,27,0,33.6,25,73,52,0,14.5,5.7,7.3,Greenleafhopper,Rajendranagar
1995,45,0,31.1,20.7,90.7,70,4,2.3,7.7,17.3,Gallmidge,Maruteru
2005,1,2,31.3,19.6,87.4,62.7,0,1.3,9.4,3.3,Greenleafhopper,Maruteru
1989,18,0,25.9,14.6,44.6,34.7,64.6,4.9,5.4,36.9,LeafBlast,Palampur
1987,12,124,36.1,20,55.4,25.3,43.9,5.1,10.6,7.5,Yellowstemborer,Rajendranagar
1996,9,98,28.2,9.3,86.8,32.5,0,2.4,9.6,3.3,Yellowstemborer,Raipur
2007,20,125,37.3,26.8,88.9,51.6,46.6,7.2,8.6,6.2,Yellowstemborer,Cuttack
1995,18,0,37.8,19.6,52,16.6,0,4.1,12.3,7.1,Yellowstemborer,Ludhiana
1993,47,0,30.9,14.3,81.7,39.6,0.1,3,8.8,26.7,Gallmidge,Rajendranagar
1976,46,98,29.1,18.8,93.6,57.6,14.2,7.8,8.3,4.7,Yellowstemborer,Rajendranagar
1995,50,83,27.8,17.2,87.7,65,0,1.9,5.9,18.3,LeafFolder,Maruteru
2003,39,517,29.4,24.7,92.6,80.6,22.4,2.6,4.5,2.5,Whitebackedplanthopper,Maruteru
2000,32,16,31.3,24.7,90.3,74.4,27.6,6.8,3,3.5,Caseworm,Raipur
1993,41,0,29.4,22,83.9,64,33.7,3.9,6.2,3.7,LeafBlast,Rajendranagar
1998,31,20,30.3,23.4,92.9,87.7,0,9.2,3.3,3.6,Greenleafhopper,Maruteru
2001,48,0,24.8,8.5,93.9,41.4,0,2.2,8.4,2.1,Brownplanthopper,Ludhiana
2000,21,26,40.3,27.9,63.3,24.9,1.8,10.7,7.2,12.3,Greenleafhopper,Raipur
1996,28,0,32.7,26,91.1,75.6,17.6,5,6.6,4.4,Yellowstemborer,Cuttack
2003,46,0,20.1,8.8,73,59.9,19.5,4.8,4.3,2.2,LeafBlast,Palampur
1998,31,4200,28.7,22.3,92.3,75.6,66.1,5.2,3.8,3.3,Greenleafhopper,Rajendranagar
2000,3,0,29.5,12.5,84.4,46.9,0,3.2,8.4,3.9,Yellowstemborer,Raipur
2009,45,3603,28.4,23,90.3,71.1,28.4,1.5,1.8,2.5,Greenleafhopper,Maruteru
2003,18,0,34.1,25.8,82.7,61.9,0,5.2,9.7,5,LeafFolder,Maruteru
1994,29,0,31.3,22.5,83.4,56.6,27,15.3,4.3,4.5,Brownplanthopper,Rajendranagar
1991,13,112,37.8,21.1,56.1,16.7,0,3.8,10.7,6.1,Yellowstemborer,Rajendranagar
1997,37,1167,31.6,21.7,89.3,75,36,2.9,5.8,24.7,Greenleafhopper,Maruteru
1995,32,10.5,31.7,23.2,85.3,58.7,1.8,7,5.4,4.2,LeafBlast,Rajendranagar
1994,15,0,30.9,22.3,80.1,47.1,1.4,3.4,2.9,3,Gallmidge,Rajendranagar
2000,25,0,35.9,27.4,78.9,52.1,1.6,8.4,8.6,7.1,Yellowstemborer,Ludhiana
1997,21,0,31,19,45,31.4,0,5.4,9.6,7.4,LeafBlast,Palampur
2009,43,5,30.3,11.3,89.1,21.4,0,2.4,9.1,3.4,Whitebackedplanthopper,Ludhiana
2007,28,28,32.3,24.1,84.4,57.9,39,13.7,4,6.8,Yellowstemborer,Rajendranagar
1999,21,0,36.1,24,72.1,45.9,17.9,5.4,6.9,6.9,Yellowstemborer,Ludhiana
2010,47,0,30.3,19.2,91.4,56.1,0,3.1,8.4,8.4,Greenleafhopper,Rajendranagar
1996,17,103,37.9,26.4,86.7,42.7,9,12.5,9.6,8.6,Yellowstemborer,Cuttack
1993,40,605,32,21.3,77.9,48,15.8,1.7,8.9,4.5,Brownplanthopper,Rajendranagar
1994,44,0,26.2,18.8,86,67.1,27.4,7.3,4.4,3.3,Gallmidge,Rajendranagar
2005,18,20358,32.2,22.6,88.3,74.7,94.6,4.7,5.9,2.4,Brownplanthopper,Maruteru
2008,6,558,26.3,22.4,89.7,66.5,4,3.6,5.6,2.9,Brownplanthopper,Maruteru
1992,4,0,14.4,7.4,66,60.3,81.7,5.9,1.6,1.4,LeafBlast,Palampur
2005,5,4,30.6,20.9,92.9,68.9,0,2.7,8.3,3.2,ZigZagleafhopper,Maruteru
1998,48,0,27.4,9.7,95,35.9,0,1.6,9.5,3.1,Gallmidge,Raipur
2007,22,0,38.7,23.8,53.6,26.3,0,5.4,12.1,9.9,Brownplanthopper,Ludhiana
1995,8,0,13.1,4.3,56.9,47.1,6.5,6.1,5.2,1.8,LeafBlast,Palampur
2000,10,0,33.8,15.5,72.9,18.9,0,3.8,9.6,6,Caseworm,Raipur
2011,23,0,38.7,26.5,62.9,41.3,2,0,11.2,0,Yellowstemborer,Ludhiana
2008,50,0,30.1,14.9,90.4,37.7,0,1.4,4.5,2.6,Gallmidge,Raipur
1998,22,0,42.4,28.3,55.6,30.3,0,4.9,10.8,12.3,Brownplanthopper,Rajendranagar
2007,37,0,31.4,23.2,91.4,66.3,39.2,3.2,5.2,4.5,Caseworm,Rajendranagar
1995,24,0,35.4,23.8,36.1,30.4,7.8,6,9.8,8.4,LeafBlast,Palampur
1988,21,0,32.8,20.4,27.7,16,3,8.9,11.2,11.1,LeafBlast,Palampur
2002,19,0,40.5,27.6,55.3,26.3,0,6.4,9.8,11.1,Gallmidge,Rajendranagar
1984,5,0,30,16.1,89.4,33,0,6,9.8,4.8,Yellowstemborer,Rajendranagar
2001,12,3905,37.1,21.8,65.3,22.1,8.4,2.5,6.8,6.2,Greenleafhopper,Rajendranagar
2010,52,0,18.6,6,98.6,61.5,17.6,2.2,2.3,0.9,Yellowstemborer,Ludhiana
1999,27,3,33.6,23.2,82.4,62.6,0,9.2,5.5,4.6,Yellowstemborer,Maruteru
2009,6,1,29.9,21.3,91.4,39,0,3.6,7.6,2.5,ZigZagleafhopper,Maruteru
2001,22,0,38.4,26.1,56.3,30.9,9,7.3,9.6,10.6,Gallmidge,Rajendranagar
1990,21,0,35.2,24.2,67.6,18.1,4.4,9.2,8.1,5.7,Yellowstemborer,Rajendranagar
2004,14,0,32.1,24.2,92.7,70,0,3.6,6.6,3.6,Gallmidge,Maruteru
2009,38,0,32,25.3,89.4,59.4,12.4,1.9,4.2,3.4,Whitebackedplanthopper,Maruteru
2011,51,0,19.3,4.3,99.6,47.1,0,0,6.1,0,Brownplanthopper,Ludhiana
2008,36,19,30.2,24.6,86.1,72.9,286.4,2.6,4.1,3.7,LeafFolder,Maruteru
1999,5,238,29.1,16.5,93.7,52.3,0,3,7.4,3,Yellowstemborer,Cuttack
1999,29,1.42,30.2,23.2,87.6,67.7,60.8,7,4.6,4,LeafBlast,Rajendranagar
2003,13,0,32.1,23.1,92.3,47.4,1.6,6.2,8.5,4.9,Brownplanthopper,Cuttack
2009,5,101,29.8,21.5,95.4,43.9,0,3,7.4,2.5,Brownplanthopper,Maruteru
2010,51,0,28.4,7.6,84.4,26.6,0,3,8.8,9.4,LeafFolder,Rajendranagar
1996,37,0,31.1,25.9,92,81,152.9,3.7,4,3.5,Yellowstemborer,Cuttack
1998,13,26,36.9,23.3,87.3,39.7,0,6.6,8.8,6.7,Yellowstemborer,Cuttack
1995,41,0,34.7,19.9,84.1,37,0,2.1,9.6,3.9,Yellowstemborer,Ludhiana
1991,36,34.5,31.7,22.9,70,38.7,1.8,5.1,7.1,4.7,LeafBlast,Rajendranagar
1996,17,73,34.1,22.9,88.3,58,0,2.7,8.8,35.2,Whitebackedplanthopper,Maruteru
2000,44,493,30,21,88.9,72.9,0,3.7,5.6,2.4,Whitebackedplanthopper,Maruteru
1987,41,0,26.2,16.4,46.3,40.3,6.6,4,7.2,3.9,LeafBlast,Palampur
2001,35,96,34.6,26.7,84.9,61.9,0,2.9,10.4,5.3,Whitebackedplanthopper,Ludhiana
1998,27,137,33.9,25.3,92,78.1,164.4,4.7,6.6,4.6,Yellowstemborer,Ludhiana
2007,1,620,25.5,20.9,87.3,71,0,2.9,6.6,2.7,Greenleafhopper,Maruteru
1999,10,82,31.7,20,94.3,64.1,0,2.2,8.9,3.1,Miridbug,Maruteru
1985,41,0,22,13.4,69.6,59,103.8,5,5.6,2.1,LeafBlast,Palampur
2010,16,200,32.7,24.3,91.9,48.9,22.2,5.1,8.4,4.8,Miridbug,Maruteru
1995,13,5230,33.4,20.5,88.9,60,0,6.7,8.6,28.4,Whitebackedplanthopper,Maruteru
1998,16,10608,33.5,22.4,86.7,61.4,0,4.2,4.1,39.8,Yellowstemborer,Maruteru
2002,51,0,25.2,16.2,90.4,77.4,0,3.3,7.1,2.5,Gallmidge,Cuttack
1998,11,2226,32.1,21,92.1,86.3,0,2.1,9.6,5.2,Gallmidge,Maruteru
2007,36,223,28.3,26.3,92.3,70,30.6,2.6,4.5,3.7,Whitebackedplanthopper,Maruteru
2005,7,773,34.1,24.4,87.7,64.7,0,3.3,9.3,4.1,Yellowstemborer,Maruteru
2007,29,4,31.2,25.8,91.1,73.9,79.8,1.7,5.3,3.9,LeafFolder,Maruteru
1995,34,22,31.8,23.1,91.9,72.3,100.9,12.3,1.2,3.7,Gallmidge,Raipur
2008,1,111,24.8,18.1,87.6,64.1,0,2.9,8.8,2.7,Miridbug,Maruteru
2009,21,6,36.8,26.1,89,68,3.3,2.1,3,6.6,Miridbug,Maruteru
2004,34,0,26,17.8,79.3,72,163.3,5.2,3.7,2.1,LeafBlast,Palampur
2008,47,9,30.3,19,90.7,53.7,0,3.2,7,5.5,Caseworm,Rajendranagar
1995,30,0,30.8,23.7,92,78,53,1.7,5,28.6,Greenleafhopper,Maruteru
2007,16,9100,37,21.3,63.1,31.7,26.2,5.1,9.3,6.2,Greenleafhopper,Ludhiana
2004,41,78,29.9,23.6,91.6,82.7,72.4,2.7,5.8,3.1,LeafFolder,Maruteru
2000,8,7,31.9,19.7,82.3,31.4,0,5.2,8.5,5.6,Yellowstemborer,Cuttack
2001,25,950,34,24.9,74.7,56.7,0,9.3,4.7,5.4,Whitebackedplanthopper,Maruteru
2007,28,33,30.8,26.1,91.6,72.4,51.4,2.3,3,4.2,Brownplanthopper,Maruteru
1986,39,0,23.1,15.3,75,69.7,95.2,6.4,3.6,2.6,LeafBlast,Palampur
2011,21,0,38.7,25.8,53.7,28.1,0.1,0,0,0,Gallmidge,Rajendranagar
2009,49,2804,28.6,17.3,90.3,68.1,0,2.1,6.7,2.8,ZigZagleafhopper,Maruteru
1999,52,0,28.1,12.3,87.6,37.9,0,1.7,9.4,3,Greenleafhopper,Rajendranagar
2010,17,200,40.3,26.5,67.9,39,0,4.9,9.4,8.9,Miridbug,Rajendranagar
1999,1,0,22.2,10.4,90.6,49.6,14.6,4.5,6.1,2.7,Yellowstemborer,Cuttack
1989,13,0,31.5,19.2,76.7,36,5,5.3,8.6,5.8,Yellowstemborer,Rajendranagar
1993,45,0,29.9,17.6,72.3,46,0,4.3,9.4,3.7,Yellowstemborer,Rajendranagar
2009,24,0,38.1,28.1,92.3,67.4,0,1.6,6.9,4.8,LeafFolder,Maruteru
2010,29,58,29.7,24.6,87.4,61.1,55.6,2.7,1.6,3.9,Yellowstemborer,Maruteru
1986,51,0,12.2,3.6,50.9,51.6,2.8,5.4,4.2,1.8,LeafBlast,Palampur
2011,25,120,35.3,27.3,70.6,39,1,0,5.5,0,Brownplanthopper,Maruteru
1995,24,0,38,26.9,81,63,0,1.6,5.1,33.7,Greenleafhopper,Maruteru
1997,30,0,31.9,24.3,92,78,22.6,6.7,7.3,28.6,LeafFolder,Maruteru
2009,29,0,31.9,23.1,82.1,56.6,17.8,17.8,4,6.9,Brownplanthopper,Rajendranagar
2001,6,0,22,4.2,94,37.1,0,3.2,10.2,2.5,LeafFolder,Ludhiana
2001,31,28.2,27,19.5,81.9,76,41.4,2.8,4.1,2.2,LeafBlast,Palampur
2002,31,0,31.8,23.2,84.7,70.3,10.8,2.6,4.4,3.7,LeafBlast,Rajendranagar
2001,25,0,33.4,23.4,74.7,47.6,8.2,9.5,8,7.2,Miridbug,Rajendranagar
2003,3,0,19,5.6,37.7,32,0,5.5,7.3,2.4,LeafBlast,Palampur
2007,47,0,25.9,8.8,94.3,33.6,0,1.5,4.3,1.9,Caseworm,Ludhiana
2005,26,632,30.1,24.4,91.1,66.9,114.2,8.8,1.3,3.7,Yellowstemborer,Maruteru
1984,34,53.8,31.5,22.6,76.3,52,0,12.8,8.2,7.7,LeafBlast,Rajendranagar
2008,30,692,28.4,23.6,91.1,79.7,99.2,1.7,2,4.1,Brownplanthopper,Maruteru
1986,8,0,31,17.8,80,37.9,0,5,11.1,4.8,LeafBlast,Rajendranagar
2010,37,7,30.6,24,95,74,28,3.9,6.2,3,Yellowstemborer,Ludhiana
2003,6,3,27.4,19.8,85.4,69.6,0,4.2,5.2,3.3,Brownplanthopper,Maruteru
1995,46,9,31.9,23.7,94.4,37.4,78.3,5.2,4,3,Gallmidge,Raipur
1991,15,0,19.9,10.6,63,46.1,47.2,8.9,3.6,2.6,LeafBlast,Palampur
1992,31,5,30.5,22.3,76.3,46.6,32.9,7.7,5.4,4.1,LeafBlast,Rajendranagar
2001,19,14,41.8,27.5,51.4,16.6,0,4.2,9.9,10.9,LeafFolder,Rajendranagar
2009,26,110,36.4,27.3,85.6,73.6,0,2,2.9,5.5,ZigZagleafhopper,Maruteru
2000,25,3761,31.9,23.8,88,74.7,0,10.2,2.8,4.2,Brownplanthopper,Maruteru
2005,28,100,29.6,25.9,92.1,82.6,22.8,8.1,5.2,3.7,Whitebackedplanthopper,Maruteru
2003,6,0,31.4,18.1,79.1,35,0,4.4,8.7,4.7,LeafBlast,Rajendranagar
2010,46,64,29.7,19.2,90.1,52,6.8,3.1,8.2,3,Yellowstemborer,Cuttack
2008,6,0,15.4,4.2,98.6,59.9,0.8,4.4,5.2,1.4,Brownplanthopper,Ludhiana
2007,40,76,33.8,16.9,91.7,39,0,3.6,10.3,4,LeafFolder,Ludhiana
2007,44,362,26.4,23,89,83.6,49.5,1.5,4.3,2.4,ZigZagleafhopper,Maruteru
2003,16,0,35.8,25.9,91.4,50.9,0,7.9,9.3,6.2,Brownplanthopper,Cuttack
1995,5,0,28.1,13.6,84.6,35.4,0,3.8,9.3,3.7,Greenleafhopper,Rajendranagar
2008,18,65,38.6,26.8,90.7,45.1,0,4.2,6.5,4.7,Miridbug,Maruteru
2006,42,1719,30.2,23.4,88.3,69.6,4.2,1.6,6.4,2.8,ZigZagleafhopper,Maruteru
2000,40,5,33,21.8,77.7,43.1,0,1.7,8.6,4.4,LeafBlast,Rajendranagar
2005,17,2,34.9,25.5,87.1,63,0,4.2,7.6,4.7,LeafFolder,Maruteru
2001,14,7360,32.4,22.8,88.9,58.5,0,3.4,8.4,4.4,Gallmidge,Maruteru
1985,26,0,30.5,20.3,59,52.3,45.5,5.1,5.8,7,LeafBlast,Palampur
2011,41,670,30.6,24.9,85.3,53,34.8,0,6.2,0,Gallmidge,Maruteru
2000,41,8.2,32.5,21.4,88.9,51.1,8.4,1.1,6.7,2.9,LeafBlast,Rajendranagar
2008,5,0,16.7,2.9,95.7,46.9,2.4,3.8,6.4,1.5,Brownplanthopper,Ludhiana
2010,50,145,28.1,15.9,90.3,49.6,7.6,3.1,8.4,6.8,Miridbug,Rajendranagar
1997,32,432,30.9,23.5,91.4,76,26.9,5.9,6.3,25.6,Yellowstemborer,Maruteru
2003,43,0,25.3,12.1,60.7,46.3,0,3.6,9.2,3.8,LeafBlast,Palampur
1986,5,0,16.7,5.9,48.3,34.7,0,6.4,7.2,2.5,LeafBlast,Palampur
1997,13,0,20.8,10.8,62.7,60.6,23.9,5.6,6.1,3,LeafBlast,Palampur
2002,33,0,31.8,25.7,94,74.1,37.4,4.7,3,3.8,Gallmidge,Cuttack
2001,40,301,28.3,21.8,92.6,75.6,139.6,2.5,2.6,2.2,Yellowstemborer,Rajendranagar
2001,28,0,33.5,26.9,87.9,72.7,63,3.2,6.7,3.8,Whitebackedplanthopper,Ludhiana
2010,31,0,33.3,27.5,85.9,67.1,2.4,9.2,8.3,5.4,Yellowstemborer,Ludhiana
2010,50,22,27.3,20.1,88.1,65.4,0,2.3,4.3,2.6,LeafFolder,Maruteru
2001,17,0,38.9,20,54.7,13.3,0,3.8,10.9,8.3,Whitebackedplanthopper,Ludhiana
2005,10,75,31.1,20.6,75.9,64.4,0,1.8,9.3,3.5,Greenleafhopper,Maruteru
2008,5,0,30.6,14.8,72.6,34.1,0,3.6,9.3,5,Brownplanthopper,Rajendranagar
1998,3,0,32.1,17.1,88.1,38.9,0,2.5,8.8,4.2,Gallmidge,Rajendranagar
1996,39,0,33.1,22.3,90.9,55,2.8,2.3,8.4,3.9,LeafBlast,Rajendranagar
2004,41,377,29.9,23.6,91.6,82.7,72.4,2.7,5.8,3.1,ZigZagleafhopper,Maruteru
2010,29,0,30,22.7,89.4,78.1,82.1,12,4.7,4.1,Caseworm,Rajendranagar
1990,36,38.5,24.1,18.2,86,83.7,178.7,4.9,3,2.1,LeafBlast,Palampur
2000,22,0,35.9,25.1,74,45.6,25,5.5,8.5,7.4,Brownplanthopper,Rajendranagar
1998,8,0,34.3,16.9,71.3,26.1,0,1.7,10.9,6.5,Gallmidge,Rajendranagar
1998,22,0,45.5,28.8,38.6,16.9,0,7.1,9,13.5,Gallmidge,Raipur
2007,8,45,26.6,19.6,86.7,53.1,0,6.4,9.9,3.2,Gallmidge,Maruteru
1998,8,277,31.1,17.1,88.9,40.7,3.2,2.6,9,4.3,Yellowstemborer,Raipur
1994,5,0,31.3,14.5,75,31.7,0,4.2,10.4,3.4,Gallmidge,Rajendranagar
2001,49,122,30.4,16.5,85.9,65.4,0,2.3,8.7,2.7,Gallmidge,Maruteru
2003,36,0,19.5,18.3,89.6,80.3,110,3.9,4.7,2.5,LeafBlast,Palampur
2007,46,6400,27.6,11.2,96.1,35,0,1.7,3.6,1.9,Greenleafhopper,Ludhiana
2005,8,70,35,24.6,88.7,61.3,0,3.7,7.5,4.6,LeafFolder,Maruteru
1984,39,36,25.5,13.4,62.1,53.7,0,4.7,8.1,3.8,LeafBlast,Palampur
2007,38,0,31.5,24.2,90.3,71.7,23.6,4.6,7,4.7,LeafFolder,Raipur
1996,45,0,30.4,18,84.9,63.7,0,2.8,9.4,4,Yellowstemborer,Cuttack
2008,18,0,40.2,21.8,49.4,22.6,4.3,5.2,10,9.6,Greenleafhopper,Ludhiana
2011,33,5,29.9,24,96,80.4,32.1,0,4.9,0,Whitebackedplanthopper,Ludhiana
2008,22,1085,37.1,25.6,84.3,48.6,12,1.6,8.2,6,Brownplanthopper,Maruteru
2000,47,0,31,14.4,80.4,34.9,0,1.6,9.1,3.5,Greenleafhopper,Rajendranagar
2010,49,408,26.3,18,82.6,57.3,10.6,3,8.7,3.9,Miridbug,Rajendranagar
2006,19,76,34.1,26.1,91.7,60.4,0,3,8.9,4.8,Greenleafhopper,Maruteru
1999,18,64,34.4,25.6,90.1,71,0,4.8,6.8,4.5,Whitebackedplanthopper,Maruteru
1995,10,0,35.1,19.8,75.7,32.6,0,5.4,10.7,5.5,Gallmidge,Rajendranagar
2008,12,63,28.6,21.9,91.3,71.6,114.6,5.4,3.4,3.7,Gallmidge,Maruteru
1998,37,4,32,23.5,88.3,70.3,55.8,3.7,5.7,4.6,Yellowstemborer,Ludhiana
2001,2,24,30.6,14.4,81.9,28.6,0,2.8,8.7,4.2,Greenleafhopper,Rajendranagar
1998,31,10,28.7,22.3,92.3,75.6,66.1,5.2,3.8,3.3,Gallmidge,Rajendranagar
2001,51,0,28.3,11.7,79,32,0,2.4,8.2,3.3,LeafFolder,Rajendranagar
1998,6,10,29.1,19.1,93.1,54,0,4.2,5.5,39.8,Miridbug,Maruteru
1997,22,14,34.4,24.4,85.1,75,38.6,3,6.1,25.6,Miridbug,Maruteru
2004,8,0,21.4,8.6,54.1,41,15.2,4.9,8.9,2.7,LeafBlast,Palampur
2007,51,0,29.7,15.4,79.1,38,0,4.4,7.6,4.9,Brownplanthopper,Rajendranagar
1998,6,23,31.4,18.2,82.4,35.9,0.8,3.4,9,4.6,Yellowstemborer,Rajendranagar
2000,11,0,26.5,10.2,88.7,34.4,0,4.5,10.4,4.6,Yellowstemborer,Ludhiana
1998,50,0,27.2,11.4,88.7,44.4,0,2.2,7.6,2.7,Brownplanthopper,Rajendranagar
1987,15,18,39.8,23.4,41.1,14,0,8,11.9,7.8,Yellowstemborer,Rajendranagar
1998,9,0,30.7,14.4,83,29.9,0,3.1,9.7,4.7,Gallmidge,Raipur
2010,5,8,28.6,16.6,89.1,63.6,7.3,3,8,2.8,LeafFolder,Maruteru
2006,46,7780,27.8,21.4,94.3,64.7,0,1.4,6.8,2.9,Greenleafhopper,Maruteru
1998,4,6,28.2,19.8,93.1,88.4,0,2.9,6.6,2.9,LeafFolder,Maruteru
2007,18,187,39.3,25.4,73,32,31,5.6,9,8.9,LeafFolder,Rajendranagar
1996,25,30,33.2,23.4,77.7,51,0,12.5,5.9,7.8,Greenleafhopper,Rajendranagar
2006,46,18,27.8,21.4,84.6,64.7,0,1.4,6.8,2.9,Gallmidge,Maruteru
2007,52,0,29.9,13.4,89.3,33.6,0,2,9,3.1,LeafFolder,Raipur
1999,50,0,26.8,9.7,91.3,34,0,2.2,8.3,2.9,Yellowstemborer,Raipur
2007,46,2275,29.4,11.7,85.9,25.9,0,3.4,8.6,5.1,Greenleafhopper,Rajendranagar
2000,46,378,29.8,19,80.8,59.5,0,3,6.5,3.4,Miridbug,Maruteru
2005,8,2885,35,24.6,88.7,61.3,0,3.7,7.5,4.6,Brownplanthopper,Maruteru
2007,38,29,27.9,23.1,93.4,79.6,53.6,5.9,1.5,3.8,LeafFolder,Rajendranagar
2009,33,365,32.3,26.7,85.9,69,27,1.9,4.3,4,ZigZagleafhopper,Maruteru
2010,16,6,40.8,25.7,67.1,29.7,0,4.9,9.4,9.4,Gallmidge,Rajendranagar
2007,11,130,28.6,21.9,86.4,55.3,0,5.9,8.6,3.4,LeafFolder,Maruteru
1998,34,6,31.1,23.1,94.9,70.9,116.3,1.8,6.5,3.7,Yellowstemborer,Rajendranagar
2011,27,0,34.2,26.5,88.4,61.7,26.8,0,6.7,0,Greenleafhopper,Ludhiana
2009,30,108,32.1,26.9,91.7,75.1,2,1.7,5.5,4.1,Brownplanthopper,Maruteru
2008,31,41,28.4,23.8,92.6,74.9,152.1,2.1,1,4,Greenleafhopper,Maruteru
2010,30,0,33.2,26.9,90.1,71.7,12.2,6.1,4.6,4.5,Whitebackedplanthopper,Ludhiana
2008,49,1100,29.3,11.9,88.9,29,0,2.1,7.9,3.3,Whitebackedplanthopper,Raipur
2000,31,0,33.6,24.1,77.1,50.7,2.7,2.6,8.3,5,Gallmidge,Rajendranagar
1999,38,169,31.2,24.6,88,72,0,3.7,5.3,3.3,Miridbug,Maruteru
1998,6,0,31.4,18.2,82.4,35.9,0.8,3.4,9,4.6,LeafBlast,Rajendranagar
1995,43,5430,29,19.9,82.9,59.6,11.2,2.5,6.9,3,Greenleafhopper,Rajendranagar
